Source,Target,nature_lien,label
aves_aa_4R_auth_0523,1454,conseiller_des_charpentiers,"rippel, michel"
aves_aa_4R_auth_0528,1454,conseiller_des_sauniers,"trachenfeils, johanns"
aves_aa_4R_auth_0540,1454,conseiller_des_tisserands,"spiegel, johanns"
aves_aa_4R_auth_0544,1454,conseiller_des_bouchers,"bechtolt, wilhelm"
aves_aa_4R_auth_0551,1454,conseiller_des_barbiers_et_baigneurs,"molsheim, von, johanns"
aves_aa_4R_auth_0556,1454,conseiller_des_constructeurs_de_bateaux,"klige, küntz"
aves_aa_4R_auth_0557,1454,ammeister,"wormser, jacob"
aves_aa_4R_auth_0575,1454,conseiller_des_charrons,"sasbach, konrat"
aves_aa_4R_auth_0583,1454,conseiller_des_pelletiers,"wissensee, claus"
aves_aa_4R_auth_0586,1454,conseiller_des_gourmets_et_courtiers,"seidenfaden, friedrich"
aves_aa_4R_auth_0598,1454,conseiller_des_tanneurs,"reimbolt, diebolt"
aves_aa_4R_auth_0605,1454,conseiller_des_coltineurs_de_tonneaux,"förster, symont"
aves_aa_4R_auth_0610,1454,conseiller_des_maçons,"molsheim, von, michel"
aves_aa_4R_auth_0618,1454,conseiller_des_cabaretiers,"bisinger, heinrich"
aves_aa_4R_auth_0633,1454,conseiller_des_orfevres,"ernst, martin"
aves_aa_4R_auth_0652,1454,conseiller_des_crieurs_et_mesureurs_de_vin,"heiligenstein, von, anthenie"
aves_aa_4R_auth_0655,1454,conseiller_des_jardiniers,"ersam, johanns"
aves_aa_4R_auth_0692,1454,conseiller_des_marchands,"stange, erhart"
aves_aa_4R_auth_0693,1454,conseiller_des_boulangers,"diebolt, johanns"
aves_aa_4R_auth_0694,1454,conseiller_des_tonneliers,"barre, von, claus"
aves_aa_4R_auth_0695,1454,conseiller_des_drapiers,"renner, claus"
aves_aa_4R_auth_0696,1454,conseiller_des_tailleurs,"jungeling, heinrich"
aves_aa_4R_auth_0697,1454,conseiller_des_cordonniers,"reimbolt, oberlin"
aves_aa_4R_auth_0698,1454,conseiller_des_marchands_de_grains,"vendenheim, claus"
aves_aa_4R_auth_0699,1454,conseiller_des_pêcheurs,"sankt-arbogast, ulrich"
aves_aa_4R_auth_0700,1454,conseiller_des_regrattiers_cordiers_et_fruitiers,"herbst, claus"
aves_aa_4R_auth_0372,1455,ammeister,"armbruster, konrat"
aves_aa_4R_auth_0449,1455,conseiller_des_barbiers_et_baigneurs,"rohrer, marx"
aves_aa_4R_auth_0482,1455,conseiller_des_coltineurs_de_tonneaux,"paulus, johanns"
aves_aa_4R_auth_0535,1455,conseiller_des_forgerons,"meiger, heinrich"
aves_aa_4R_auth_0541,1455,conseiller_des_gourmets_et_courtiers,"brant, diebolt"
aves_aa_4R_auth_0544,1455,ammeister,"bechtolt, wilhelm"
aves_aa_4R_auth_0546,1455,conseiller_des_tailleurs,"zerig, sifrit"
aves_aa_4R_auth_0553,1455,conseiller_des_charrons,"spielmann, johanns"
aves_aa_4R_auth_0566,1455,conseiller_des_tisserands,"kork, von, peter"
aves_aa_4R_auth_0584,1455,conseiller_des_marchands_de_grains,"melbrühe, johanns"
aves_aa_4R_auth_0608,1455,conseiller_des_tanneurs,"vendenheim, johanns"
aves_aa_4R_auth_0611,1455,conseiller_des_pelletiers,"spirer, johanns"
aves_aa_4R_auth_0636,1455,conseiller_des_constructeurs_de_bateaux,"hettemann, diebolt"
aves_aa_4R_auth_0648,1455,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"marckoltzheim, von, johanns"
aves_aa_4R_auth_0671,1455,conseiller_des_tonneliers,"pfaffenheim, sifrit"
aves_aa_4R_auth_0684,1455,conseiller_des_crieurs_et_mesureurs_de_vin,"beingewant, claus"
aves_aa_4R_auth_0701,1455,conseiller_des_marchands,"arge, peter"
aves_aa_4R_auth_0702,1455,conseiller_des_boulangers,"burer, ulrich"
aves_aa_4R_auth_0703,1455,conseiller_des_bouchers,"offenburg, götze"
aves_aa_4R_auth_0704,1455,conseiller_des_drapiers,"wingersheim, stefan"
aves_aa_4R_auth_0705,1455,conseiller_des_cabaretiers,"freiburger, jacob"
aves_aa_4R_auth_0706,1455,conseiller_des_maçons,"bösch, engelhart"
aves_aa_4R_auth_0707,1455,conseiller_des_bateliers,"ammelung, jacob"
aves_aa_4R_auth_0708,1455,conseiller_des_charpentiers,"weinsacher, erhart"
aves_aa_4R_auth_0709,1455,conseiller_des_cordonniers,"wolff, claus"
