PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
lauwel,nicolas,"['masc', 'latin', 'diminutif']","['lauwel', 'lauwelin', 'lawel', 'lawelin', 'laulin', 'lauwlin', 'lawlin', 'laẅelin', 'läwelin', 'laweln', 'laẅel', 'lauweln', 'laẅeln', 'laüwelin', 'lauwels', 'lauwelins', 'laͧwel', 'laüweln', 'laüwel']"
leben,,"['masc', 'germanique']",['leben']
lexius,,"['masc', 'latin']","['lexius', 'lecius']"
lienhart,léonard,"['masc', 'germanique']","['lienhart', 'lienhard', 'leonhart', 'leonhard', 'leonhardt']"
lienlin,,['fém'],['lienlin']
lucas,lucas,"['masc', 'latin']","['lucas', 'luckas']"
ludwig,louis,"['masc', 'germanique']","['ludwig', 'ludeman', 'ludman', 'ludewig']"
lutz,,"['masc', 'germanique']","['lutze', 'lutz']"
lux,luc,"['masc', 'latin']","['lux', 'lüx']"
lötschel,charlotte,"['fém', 'germanique']","['löttschel', 'lötschel']"
lütholt,léopold,"['masc', 'germanique']","['lütholt', 'lüthold', 'lütolt', 'lütold', 'lütoltz', 'ludewick']"
margrede,marguerite,"['fém', 'latin']","['margretha', 'margrede', 'margrethe']"
martin,martin,"['masc', 'latin']",['martin']
martzolff,marcel,"['masc', 'latin']","['martzolf', 'martzolff', 'marzolf', 'marzolff']"
marx,marc,"['masc', 'latin']",['marx']
matheus,matthieu,"['masc', 'latin']",['matheus']
mathis,mathis,"['masc', 'hébraïque']",['mathis']
mattern,,"['masc', 'germanique']","['mattern', 'matern', 'materne']"
meder,médéric,"['masc', 'germanique']",['meder']
megel,,"['masc', 'germanique']","['megil', 'megel']"
melchior,melchior,"['masc', 'hébraïque']","['melchier', 'melchior']"
mertz,,"['masc', 'germanique']",['mertz']
mewus,,['masc'],"['mewus', 'meüs']"
michel,michel,"['masc', 'hébraïque']",['michel']
midhart,médard,"['masc', 'germanique']","['mydehart', 'midhart']"
monschein,,"['masc', 'germanique']","['monschein', 'monschin']"
männel,,"['masc', 'germanique', 'diminutif']",['mennel']
mörlin,merlin,['masc'],['mörlin']
oberlin,,"['masc', 'germanique']","['oberlin', 'öberlin', 'äberlin']"
obrecht,albert,"['masc', 'germanique']","['obrecht', 'obreht', 'abreht', 'albreht', 'öbreht']"
ortlieb,,"['masc', 'germanique']","['ortlieb', 'ortliep', 'örtel', 'oertel']"
oswalt,oswald,"['masc', 'germanique']","['ohswalt', 'oswalt', 'oßwalt']"
ottefried,,"['masc', 'germanique']","['ottfried', 'otfried']"
ottemann,,"['masc', 'germanique']","['ottman', 'otman', 'ottemann', 'otteman', 'otte', 'ott', 'öttelin', 'ottel']"
ottilie,odile,"['fém', 'germanique']",['ottilie']
pantheleon,pantéléon,"['masc', 'grec']","['pantheleon', 'panteleon', 'phantheleon', 'panthaleon']"
paulus,paul,"['masc', 'latin']","['paulus', 'paüels', 'pauels', 'pavels']"
peter,pierre,"['masc', 'grec']","['peter', 'peterman']"
pfutschel,,"['fém', 'germanique']","['pfütschel', 'pfutschel']"
philipp,,"['masc', 'latin']","['philipps', 'philipp', 'philips', 'philippe', 'pfilips']"
reimbolt,rimbault,"['masc', 'germanique']","['reimbolt', 'reimbold', 'reinbolt', 'reinbold', 'reymbolt', 'boldel']"
reimbolt-hiltebrant,rimbaud-hildebrand,"['masc', 'compose', 'germanique']","['reimbolt hiltbrant', 'reimbolt-hiltebrant']"
reinhart,,"['masc', 'germanique']",['reinhart']
remig,rémy,['masc'],"['remmig', 'remig']"
reynolt,,"['masc', 'germanique']",['reynolt']
richart,richard,"['masc', 'germanique']","['richart', 'richard']"
riffe,,"['masc', 'germanique']","['rifelin', 'riffe', 'rufelin', 'rufel', 'rüffel', 'ruffel', 'ruͤfelin']"
rigel,,"['masc', 'germanique']","['rygel', 'rigel']"
rudolff,rodolphe,"['masc', 'germanique']","['rüdolf', 'rüdolff', 'rudolf', 'rudolff', 'ruͦdolff', 'ruͦdolff', 'rùdolff']"
ruhlemann,rodolphe,"['masc', 'germanique', 'diminutif']","['rüle', 'rülman', 'rüllin', 'ruͦlman', 'ruͤllin', 'rullin', 'rùllin', 'rùlin', 'rülin', 'rulman', 'rüleman', 'rulin', 'ruͦlman']"
runnelin,,['fém'],"['runelin', 'runnelin']"
ruther,,"['masc', 'germanique']","['rüther', 'ruther']"
schochmann,,"['masc', 'germanique']","['schochman', 'schochmann']"
schwartz,,"['masc', 'germanique']","['swartz', 'schwartz']"
schweicker,,"['masc', 'germanique']","['swicker', 'schweicker']"
siegel,sigel,"['masc', 'germanique']","['siegel', 'sigel']"
sifrit,siegfried,"['masc', 'germanique']","['sifrit', 'syfrit', 'sỳfrit', 'sifrÿt', 'sÿfrit', 'syfrid']"
sigel,,"['masc', 'germanique']","['sigelin', 'sigel']"
