Id,Label,Cat
aves_aa_4R_auth_0107,"spirer, anshelm",personne
aves_aa_4R_auth_0108,"lorer, johanns",personne
aves_aa_4R_auth_0109,"menniger, johanns",personne
aves_aa_4R_auth_0110,"kacheler, johanns",personne
aves_aa_4R_auth_0111,"mönchelin, johanns",personne
aves_aa_4R_auth_0112,"oberkirch, von, lauwel",personne
aves_aa_4R_auth_0113,"pfau, johanns",personne
aves_aa_4R_auth_0114,"berner, johanns",personne
aves_aa_4R_auth_0115,"natteler, andres",personne
aves_aa_4R_auth_0116,"albrecht, johanns",personne
aves_aa_4R_auth_0117,"messinger, heintz",personne
aves_aa_4R_auth_0118,"girbaden, hensel",personne
aves_aa_4R_auth_0119,,personne
aves_aa_4R_auth_0120,"willgottheim, claus",personne
aves_aa_4R_auth_0121,"rottweil, von, erhart",personne
aves_aa_4R_auth_0122,"hagenau, von, wernher",personne
aves_aa_4R_auth_0123,"schanlit, walther",personne
aves_aa_4R_auth_0124,"weissgerber, fritsch",personne
aves_aa_4R_auth_0125,"wormser, claus",personne
aves_aa_4R_auth_0126,"hagenau, von, erhart",personne
aves_aa_4R_auth_0127,"stegemann, eberhart",personne
aves_aa_4R_auth_0128,"hechde, claus",personne
aves_aa_4R_auth_0129,"arge, claus",personne
aves_aa_4R_auth_0130,"melbrühe, claus",personne
aves_aa_4R_auth_0131,"wintzler, peter",personne
aves_aa_4R_auth_0132,"lamb, johanns",personne
aves_aa_4R_auth_0133,"messerer, claus",personne
aves_aa_4R_auth_0134,"frei, uhlmann",personne
aves_aa_4R_auth_0135,"fritschmann, hug",personne
aves_aa_4R_auth_0136,"riffe, peter",personne
aves_aa_4R_auth_0137,"gerter, küntz",personne
aves_aa_4R_auth_0138,"schanlit, claus",personne
aves_aa_4R_auth_0139,"kraft, johanns",personne
aves_aa_4R_auth_0140,"kindelin, mewus",personne
aves_aa_4R_auth_0141,"überhang, zum, hermann",personne
aves_aa_4R_auth_0142,"hagenau, von, götze",personne
aves_aa_4R_auth_0143,"lamb, heitz",personne
aves_aa_4R_auth_0144,"seifenmacher, hug",personne
aves_aa_4R_auth_0145,"grossstein, johanns",personne
aves_aa_4R_auth_0146,"stollhofen, hensel",personne
aves_aa_4R_auth_0147,"frei, johanns",personne
aves_aa_4R_auth_0148,"gosse, peter",personne
aves_aa_4R_auth_0149,"seiler, peter",personne
aves_aa_4R_auth_0150,"dürningen, von, johanns",personne
aves_aa_4R_auth_0151,"leimer, heinrich",personne
aves_aa_4R_auth_0152,"kücheler, peter",personne
aves_aa_4R_auth_0153,"bergheim, von, johanns",personne
aves_aa_4R_auth_0154,"gast, ludwig",personne
aves_aa_4R_auth_0155,"schrotbanck, konrat",personne
aves_aa_4R_auth_0156,"lumbart, johanns",personne
aves_aa_4R_auth_0157,"oberkirch, von, claus",personne
aves_aa_4R_auth_0158,"rhinau, ottemann",personne
aves_aa_4R_auth_0159,"rotenschilt, zum, wolff",personne
aves_aa_4R_auth_0160,,personne
aves_aa_4R_auth_0161,"marlen, peter",personne
aves_aa_4R_auth_0162,"pfaffenhoffen, johanns",personne
aves_aa_4R_auth_0163,"kistner, reinhart",personne
aves_aa_4R_auth_0164,"voltz, claus",personne
aves_aa_4R_auth_0165,"nordhausen, johanns",personne
aves_aa_4R_auth_0166,"colmar, von, bechtolt",personne
aves_aa_4R_auth_0167,"werde, claus",personne
aves_aa_4R_auth_0168,"michelin, johanns",personne
aves_aa_4R_auth_0169,"beildeck, jeckel",personne
aves_aa_4R_auth_0170,"düpigheim, johanns",personne
aves_aa_4R_auth_0171,,personne
aves_aa_4R_auth_0172,"dreitzehn, hug",personne
aves_aa_4R_auth_0173,"hohenhaus, zum, claus",personne
aves_aa_4R_auth_0174,"dürninger, johanns",personne
aves_aa_4R_auth_0175,"herrhorn, zum, thoman",personne
aves_aa_4R_auth_0176,"mommenheim, von, johanns",personne
