Source,Target,nature_lien,label
aves_aa_4R_auth_0166,1411,conseiller_des_charrons,"kistner, reinhart"
aves_aa_4R_auth_0167,1423,conseiller_des_coltineurs_de_tonneaux,"voltz, claus"
aves_aa_4R_auth_0168,1408,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"nordhausen, johanns"
aves_aa_4R_auth_0169,1426,conseiller_des_marchands,"colmar, von, bechtolt"
aves_aa_4R_auth_0170,1412,conseiller_des_tanneurs,"werde, claus"
aves_aa_4R_auth_0171,1409,conseiller_des_pelletiers,"michelin, johanns"
aves_aa_4R_auth_0172,1409,conseiller_des_crieurs_et_mesureurs_de_vin,"beildeck, jeckel"
aves_aa_4R_auth_0173,1409,conseiller_des_jardiniers,"düpigheim, johanns"
aves_aa_4R_auth_0174,1416,conseiller_des_pêcheurs,", schweicker"
aves_aa_4R_auth_0175,1409,conseiller_des_barbiers_et_baigneurs,", johanns"
aves_aa_4R_auth_0176,1435,conseiller_des_charrons,"dreitzehn, hug"
aves_aa_4R_auth_0177,1422,conseiller_des_regrattiers_cordiers_et_fruitiers,"hohenhaus, zum, claus"
aves_aa_4R_auth_0178,1409,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"dürninger, johanns"
aves_aa_4R_auth_0179,1410,conseiller_des_tonneliers,"herrhorn, zum, thoman"
aves_aa_4R_auth_0180,1410,conseiller_des_cabaretiers,"mommenheim, von, johanns"
aves_aa_4R_auth_0181,1415,conseiller_des_tailleurs,"seltz, von, johanns"
aves_aa_4R_auth_0182,1434,conseiller_des_bateliers,"armbruster, konrat"
aves_aa_4R_auth_0183,1410,conseiller_des_orfevres,"mahler, hermann"
aves_aa_4R_auth_0184,1410,conseiller_des_marchands_de_grains,"bere, hensel"
aves_aa_4R_auth_0185,1410,conseiller_des_jardiniers,"hertzog, johanns"
aves_aa_4R_auth_0186,1410,conseiller_des_pêcheurs,"gauch, johanns"
aves_aa_4R_auth_0187,1410,conseiller_des_barbiers_et_baigneurs,"scherer, rudolff"
aves_aa_4R_auth_0188,1442,conseiller_des_tisserands,"renner, diebolt"
aves_aa_4R_auth_0189,1410,conseiller_des_gourmets_et_courtiers,"wachsmann, zum, fritsch"
aves_aa_4R_auth_0190,1410,conseiller_des_charrons,"dreitzehn, reimbolt"
aves_aa_4R_auth_0191,1410,conseiller_des_regrattiers_cordiers_et_fruitiers,"burkhart, riffe"
aves_aa_4R_auth_0192,1414,conseiller_des_boulangers,"martin, johanns"
aves_aa_4R_auth_0193,1414,conseiller_des_bouchers,"meister, heintz"
aves_aa_4R_auth_0194,1435,conseiller_des_drapiers,"zirtzer, ulrich"
aves_aa_4R_auth_0195,1423,conseiller_des_tonneliers,"bidermann, johanns"
aves_aa_4R_auth_0196,1425,ammeister,"sturm, johanns"
aves_aa_4R_auth_0197,1411,conseiller_des_maçons,"ammeister, johanns"
aves_aa_4R_auth_0198,1438,conseiller_des_forgerons,"villinger, peter"
aves_aa_4R_auth_0199,1411,conseiller_des_tailleurs,"schwert, johanns"
aves_aa_4R_auth_0200,1417,conseiller_des_pelletiers,"wasselnheim, von, johanns"
aves_aa_4R_auth_0201,1414,conseiller_des_charpentiers,"haslach von, peter"
aves_aa_4R_auth_0202,1411,conseiller_des_crieurs_et_mesureurs_de_vin,"merckwiller, küntz"
aves_aa_4R_auth_0203,1442,conseiller_des_marchands_de_grains,"frankenheim, ottemann"
aves_aa_4R_auth_0204,1427,conseiller_des_jardiniers,"müntzer, burkhart"
aves_aa_4R_auth_0205,1442,conseiller_des_pêcheurs,"brüchelin, hansekint"
