Id,type,Label,corporation,betweenesscentrality,modularity_class,weighted degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality
aves_aa_4R_auth_0515,personne,"hirtzfelder, johanns",corporation_des_sauniers,0.000835,1,84,0.326377,3,0.473077,0.507114
aves_aa_4R_auth_0032,personne,johanns,corporation_des_boulangers,0.0008,0,84,0.161791,4,0.408468,0.454522
aves_aa_4R_auth_0559,personne,"brettler, johanns",corporation_des_tonneliers,0.000799,1,113,0.397807,3,0.467236,0.507453
aves_aa_4R_auth_0830,personne,"ammeister, lienhart",corporation_des_forgerons,0.000788,3,144,0.256396,3,0.428385,0.474424
aves_aa_4R_auth_0097,personne,"mönchelin, küntz",corporation_des_pêcheurs,0.000782,0,83,0.205849,4,0.431768,0.476033
aves_aa_4R_auth_0895,personne,"armbruster, obrecht",corporation_des_drapiers,0.000775,3,140,0.152654,4,0.371461,0.426406
aves_aa_4R_auth_0943,personne,"müseler, peter",corporation_des_bateliers,0.000773,3,81,0.078282,4,0.373293,0.415142
aves_aa_4R_auth_0947,personne,"frank, johanns",corporation_des_tonneliers,0.000773,3,81,0.078282,4,0.373293,0.415142
aves_aa_4R_auth_0948,personne,"freiburg, von, jost",corporation_des_forgerons,0.000773,3,81,0.078282,4,0.373293,0.415142
aves_aa_4R_auth_0887,personne,"rebestock, marx",corporation_des_charrons,0.000772,3,108,0.165729,4,0.374287,0.426067
aves_aa_4R_auth_0936,personne,"bilger, johanns",corporation_des_jardiniers,0.000766,3,81,0.084296,4,0.367164,0.410061
aves_aa_4R_auth_0828,personne,"renner, claus",corporation_des_sauniers,0.000744,3,68,0.174982,3,0.420873,0.456301
aves_aa_4R_auth_0665,personne,"dossenheim, claus",corporation_des_marchands_de_grains,0.000743,2,108,0.342719,3,0.452622,0.494241
aves_aa_4R_auth_0842,personne,"burkhart, johanns",corporation_des_cordonniers,0.00074,3,136,0.212857,4,0.3936,0.448001
aves_aa_4R_auth_0392,personne,"ammelung, johanns",corporation_des_bateliers,0.00073,1,88,0.337488,4,0.471039,0.507029
aves_aa_4R_auth_0521,personne,wernher,corporation_des_tonneliers,0.000725,1,84,0.315484,3,0.481881,0.512873
aves_aa_4R_auth_0140,personne,"kraft, johanns",corporation_des_cabaretiers,0.000718,0,83,0.19461,4,0.450756,0.48772
aves_aa_4R_auth_0254,personne,"arner, heinrich",corporation_des_cabaretiers,0.000716,0,56,0.211827,4,0.468571,0.49602
aves_aa_4R_auth_0204,personne,"müntzer, burkhart",corporation_des_jardiniers,0.000715,0,56,0.173983,4,0.435206,0.470528
aves_aa_4R_auth_0514,personne,"diebolt, johanns",corporation_des_pêcheurs,0.000714,1,56,0.227476,3,0.469018,0.496612
aves_aa_4R_auth_0435,personne,"schertzheim, jerge",corporation_des_pêcheurs,0.000712,1,56,0.211457,4,0.455134,0.486196
aves_aa_4R_auth_0924,personne,"happmacher, andres",corporation_des_marchands,0.000707,3,81,0.097562,4,0.367713,0.412093
aves_aa_4R_auth_0562,personne,"zabern, von, sifrit",corporation_des_maçons,0.000701,1,113,0.398727,3,0.460028,0.501863
aves_aa_4R_auth_0337,personne,"stefan, heinrich",corporation_des_orfevres,0.000696,1,84,0.299975,4,0.465468,0.501101
aves_aa_4R_auth_0243,personne,"spirer, claus",corporation_des_pelletiers,0.000695,0,84,0.261539,4,0.441454,0.484163
aves_aa_4R_auth_0580,personne,"holtzhauser, heintz",corporation_des_tonneliers,0.000693,2,112,0.361548,3,0.468571,0.506436
aves_aa_4R_auth_0364,personne,"phye, reimbolt",corporation_des_bateliers,0.000682,1,84,0.296019,4,0.465909,0.501186
aves_aa_4R_auth_0782,personne,"baltener, diebolt",corporation_des_pêcheurs,0.000672,2,100,0.24587,3,0.437528,0.477812
aves_aa_4R_auth_0381,personne,"kesselring, johanns",corporation_des_marchands_de_grains,0.000669,1,84,0.320024,4,0.480234,0.511772
aves_aa_4R_auth_0494,personne,"peter, johanns",corporation_des_jardiniers,0.000658,1,56,0.235665,3,0.466351,0.49458
aves_aa_4R_auth_0283,personne,"kacheler, sifrit",corporation_des_maçons,0.000655,0,57,0.208599,4,0.452622,0.483486
aves_aa_4R_auth_0590,personne,"weidemann, johanns",corporation_des_forgerons,0.000652,2,112,0.349979,3,0.468348,0.505589
aves_aa_4R_auth_0603,personne,"wile, von, johanns",corporation_des_tisserands,0.000648,1,85,0.322504,4,0.446056,0.486196
aves_aa_4R_auth_0196,personne,"sturm, johanns",corporation_des_tanneurs,0.000647,0,60,0.192572,4,0.444444,0.479336
aves_aa_4R_auth_0311,personne,"götze, bechtolt",corporation_des_jardiniers,0.000637,0,84,0.271021,4,0.441454,0.484163
aves_aa_4R_auth_0931,personne,"minner, veltin",corporation_des_maçons,0.000637,3,61,0.075631,4,0.365392,0.405488
aves_aa_4R_auth_0958,personne,"konrat, johanns",corporation_des_tonneliers,0.000629,3,81,0.07648,4,0.363502,0.405403
aves_aa_4R_auth_0563,personne,"spirer, diebolt",corporation_des_pelletiers,0.000623,1,85,0.283967,3,0.460459,0.495427
aves_aa_4R_auth_0493,personne,"reimbolt, johanns",corporation_des_cordonniers,0.000614,1,56,0.218152,3,0.477207,0.502033
aves_aa_4R_auth_0618,personne,"bisinger, heinrich",corporation_des_cabaretiers,0.000613,1,84,0.286687,3,0.456825,0.493225
aves_aa_4R_auth_0899,personne,"ulrich, claus",corporation_des_pêcheurs,0.000602,3,120,0.135955,4,0.380216,0.428354
aves_aa_4R_auth_0078,personne,"steingewerck, claus",corporation_des_regrattiers_cordiers_et_fruitiers,0.000601,0,84,0.142806,4,0.405941,0.450627
aves_aa_4R_auth_0600,personne,"brettler, heinrich",corporation_des_bateliers,0.000599,2,85,0.311197,3,0.455978,0.49187
aves_aa_4R_auth_0290,personne,"obrecht, johanns",corporation_des_constructeurs_de_bateaux,0.000588,0,61,0.20474,4,0.443443,0.478828
aves_aa_4R_auth_0917,personne,"jerger, claus",corporation_des_marchands_de_grains,0.000588,3,120,0.131137,4,0.360044,0.411585
aves_aa_4R_auth_0860,personne,"ducheler, johanns",corporation_des_charrons,0.000587,3,108,0.16523,4,0.382582,0.431402
aves_aa_4R_auth_0033,personne,"berse, von, wilhelm",corporation_des_bouchers,0.000583,0,84,0.19124,4,0.420513,0.464939
aves_aa_4R_auth_0739,personne,"schlecht, johanns",corporation_des_tailleurs,0.000578,2,109,0.294296,3,0.452414,0.491362
aves_aa_4R_auth_0780,personne,"hüss, johanns",corporation_des_charpentiers,0.000575,3,100,0.243472,3,0.43617,0.47561
aves_aa_4R_auth_0926,personne,"rummeler, florentz",corporation_des_marchands_de_grains,0.000575,3,100,0.112578,4,0.377011,0.424204
aves_aa_4R_auth_0530,personne,"seger, johanns",corporation_des_gourmets_et_courtiers,0.000573,1,84,0.311749,3,0.475133,0.507622
aves_aa_4R_auth_0510,personne,"leistmann, dietrich",corporation_des_tailleurs,0.000561,2,56,0.249071,3,0.465468,0.493902
aves_aa_4R_auth_0017,personne,"honau, peter",corporation_des_orfevres,0.000542,0,84,0.142041,4,0.409829,0.453845
aves_aa_4R_auth_0177,personne,"hohenhaus, zum, claus",corporation_des_regrattiers_cordiers_et_fruitiers,0.000542,0,85,0.264291,4,0.437333,0.480945
aves_aa_4R_auth_0796,personne,"brant, johanns",corporation_des_cabaretiers,0.000541,2,101,0.224707,3,0.437528,0.476457
aves_aa_4R_auth_0248,personne,"pfluger, ottemann",corporation_des_charrons,0.000531,0,56,0.200329,4,0.442844,0.477304
aves_aa_4R_auth_0154,personne,"kücheler, peter",corporation_des_tanneurs,0.000527,0,83,0.209609,4,0.43139,0.475017
aves_aa_4R_auth_0806,personne,"ersam, andres",corporation_des_jardiniers,0.000526,3,101,0.235112,4,0.422862,0.464939
