authority,date,represents
aves_aa_4R_auth_0316,1421,group_20
aves_aa_4R_auth_0317,1421,group_21
aves_aa_4R_auth_0318,1421,group_22
aves_aa_4R_auth_0130,1421,group_23
aves_aa_4R_auth_0319,1421,group_24
aves_aa_4R_auth_0320,1421,group_25
aves_aa_4R_auth_0321,1421,group_26
aves_aa_4R_auth_0322,1421,group_27
aves_aa_4R_auth_0168,1421,group_28
aves_aa_4R_auth_0323,1421,group_29
aves_aa_4R_auth_0324,1421,group_30
aves_aa_4R_auth_0325,1421,group_31
aves_aa_4R_auth_0326,1421,group_32
aves_aa_4R_auth_0031,1422,group_05
aves_aa_4R_auth_0081,1422,group_06
aves_aa_4R_auth_0238,1422,group_07
aves_aa_4R_auth_0005,1422,group_09
aves_aa_4R_auth_0240,1422,group_08
aves_aa_4R_auth_0327,1422,group_10
aves_aa_4R_auth_0106,1422,group_11
aves_aa_4R_auth_0328,1422,group_12
aves_aa_4R_auth_0329,1422,group_13
aves_aa_4R_auth_0152,1422,group_14
aves_aa_4R_auth_0330,1422,group_15
aves_aa_4R_auth_0042,1422,group_16
aves_aa_4R_auth_0331,1422,group_17
aves_aa_4R_auth_0232,1422,group_18
aves_aa_4R_auth_0332,1422,group_19
aves_aa_4R_auth_0333,1422,group_20
aves_aa_4R_auth_0193,1422,group_21
aves_aa_4R_auth_0281,1422,group_22
aves_aa_4R_auth_0246,1422,group_23
aves_aa_4R_auth_0178,1422,group_24
aves_aa_4R_auth_0334,1422,group_25
aves_aa_4R_auth_0283,1422,group_26
aves_aa_4R_auth_0075,1422,group_27
aves_aa_4R_auth_0335,1422,group_28
aves_aa_4R_auth_0169,1422,group_29
aves_aa_4R_auth_0306,1422,group_30
aves_aa_4R_auth_0057,1422,group_31
aves_aa_4R_auth_0336,1422,group_32
aves_aa_4R_auth_0059,1423,group_05
aves_aa_4R_auth_0337,1423,group_06
aves_aa_4R_auth_0338,1423,group_07
aves_aa_4R_auth_0203,1423,group_09
aves_aa_4R_auth_0186,1423,group_08
aves_aa_4R_auth_0228,1423,group_10
aves_aa_4R_auth_0037,1423,group_11
aves_aa_4R_auth_0339,1423,group_12
aves_aa_4R_auth_0039,1423,group_13
aves_aa_4R_auth_0340,1423,group_14
aves_aa_4R_auth_0341,1423,group_15
aves_aa_4R_auth_0342,1423,group_16
aves_aa_4R_auth_0314,1423,group_17
aves_aa_4R_auth_0343,1423,group_18
aves_aa_4R_auth_0112,1423,group_19
aves_aa_4R_auth_0344,1423,group_20
aves_aa_4R_auth_0128,1423,group_21
aves_aa_4R_auth_0294,1423,group_22
aves_aa_4R_auth_0235,1423,group_23
aves_aa_4R_auth_0345,1423,group_24
aves_aa_4R_auth_0334,1423,group_25
