authority,date,role,represents,represents_in
aves_aa_4R_auth_0630,1451,group_49,group_28,group_01
aves_aa_4R_auth_0630,1444,group_50,,group_28
aves_aa_4R_auth_0626,1451,group_49,group_20,group_01
aves_aa_4R_auth_0626,1444,group_50,group_71,group_20
aves_aa_4R_auth_0613,1450,group_49,group_15,group_01
aves_aa_4R_auth_0613,1456,group_49,group_15,group_01
aves_aa_4R_auth_0613,1457,group_49,group_15,group_01
aves_aa_4R_auth_0613,1444,group_50,group_39,group_15
aves_aa_4R_auth_0609,1449,group_49,group_31,group_01
aves_aa_4R_auth_0609,1444,group_50,group_36,group_22
aves_aa_4R_auth_0605,1449,group_49,group_20,group_01
aves_aa_4R_auth_0605,1444,group_50,group_71,group_20
aves_aa_4R_auth_0602,1449,group_49,group_14,group_01
aves_aa_4R_auth_0602,1444,group_50,,group_14
aves_aa_4R_auth_0601,1449,group_49,group_12,group_01
aves_aa_4R_auth_0601,1466,group_49,group_12,group_01
aves_aa_4R_auth_0601,1467,group_49,group_12,group_01
aves_aa_4R_auth_0601,1444,group_50,group_55,group_12
aves_aa_4R_auth_0600,1449,group_49,group_11,group_01
aves_aa_4R_auth_0600,1457,group_49,group_11,group_01
aves_aa_4R_auth_0600,1458,group_49,group_11,group_01
aves_aa_4R_auth_0600,1444,group_50,group_40,group_11
aves_aa_4R_auth_0597,1448,group_49,group_23,group_01
aves_aa_4R_auth_0597,1444,group_50,group_35,group_23
aves_aa_4R_auth_0595,1448,group_49,group_20,group_01
aves_aa_4R_auth_0595,1454,group_49,group_20,group_01
aves_aa_4R_auth_0595,1444,group_50,group_72,group_20
aves_aa_4R_auth_0593,1448,group_49,group_17,group_01
aves_aa_4R_auth_0593,1444,group_50,,group_17
aves_aa_4R_auth_0592,1448,group_49,group_16,group_01
aves_aa_4R_auth_0592,1444,group_50,,group_16
aves_aa_4R_auth_0590,1447,group_49,group_29,group_01
aves_aa_4R_auth_0590,1451,group_49,group_29,group_01
aves_aa_4R_auth_0590,1444,group_50,group_67,group_29
aves_aa_4R_auth_0587,1447,group_49,group_26,group_01
aves_aa_4R_auth_0587,1444,group_50,,group_26
aves_aa_4R_auth_0584,1447,group_49,group_19,group_01
aves_aa_4R_auth_0584,1444,group_50,,group_19
aves_aa_4R_auth_0582,1447,group_49,group_12,group_01
aves_aa_4R_auth_0582,1444,group_50,group_55,group_12
aves_aa_4R_auth_0579,1447,group_49,group_09,group_01
aves_aa_4R_auth_0579,1444,group_50,,group_09
aves_aa_4R_auth_0577,1446,group_49,group_24,group_01
aves_aa_4R_auth_0577,1444,group_50,group_64,group_24
aves_aa_4R_auth_0576,1446,group_49,group_23,group_01
aves_aa_4R_auth_0576,1444,group_50,group_47,group_23
aves_aa_4R_auth_0575,1446,group_49,group_21,group_01
aves_aa_4R_auth_0575,1449,group_49,group_21,group_01
aves_aa_4R_auth_0575,1444,group_50,,group_21
aves_aa_4R_auth_0574,1446,group_49,group_16,group_01
aves_aa_4R_auth_0574,1450,group_49,group_16,group_01
aves_aa_4R_auth_0574,1453,group_49,group_16,group_01
aves_aa_4R_auth_0574,1455,group_49,group_16,group_01
aves_aa_4R_auth_0574,1444,group_50,,group_16
aves_aa_4R_auth_0572,1446,group_49,group_11,group_01
aves_aa_4R_auth_0572,1444,group_50,group_40,group_11
aves_aa_4R_auth_0571,1446,group_49,group_10,group_01
aves_aa_4R_auth_0571,1451,group_49,group_10,group_01
aves_aa_4R_auth_0571,1455,group_49,group_10,group_01
aves_aa_4R_auth_0571,1465,group_49,group_10,group_01
aves_aa_4R_auth_0571,1466,group_49,group_10,group_01
aves_aa_4R_auth_0571,1471,group_49,group_10,group_01
aves_aa_4R_auth_0571,1472,group_49,group_10,group_01
aves_aa_4R_auth_0571,1479,group_49,group_10,group_01
aves_aa_4R_auth_0571,1480,group_49,group_10,group_01
aves_aa_4R_auth_0571,1481,group_49,group_10,group_01
aves_aa_4R_auth_0571,1482,group_49,group_10,group_01
aves_aa_4R_auth_0571,1485,group_49,group_10,group_01
aves_aa_4R_auth_0571,1486,group_49,group_10,group_01
aves_aa_4R_auth_0571,1493,group_49,group_10,group_01
aves_aa_4R_auth_0571,1494,group_49,group_10,group_01
aves_aa_4R_auth_0571,1444,group_50,,group_10
aves_aa_4R_auth_0570,1446,group_49,group_06,group_01
aves_aa_4R_auth_0570,1449,group_49,group_06,group_01
aves_aa_4R_auth_0570,1453,group_49,group_06,group_01
aves_aa_4R_auth_0570,1456,group_49,group_06,group_01
aves_aa_4R_auth_0570,1457,group_49,group_06,group_01
aves_aa_4R_auth_0570,1464,group_49,group_06,group_01
aves_aa_4R_auth_0570,1465,group_49,group_06,group_01
aves_aa_4R_auth_0570,1444,group_50,,group_06
aves_aa_4R_auth_0569,1446,group_49,group_05,group_01
aves_aa_4R_auth_0569,1444,group_50,group_44,group_05
aves_aa_4R_auth_0568,1445,group_49,group_30,group_01
aves_aa_4R_auth_0568,1447,group_49,group_30,group_01
aves_aa_4R_auth_0568,1449,group_49,group_30,group_01
aves_aa_4R_auth_0568,1451,group_49,group_30,group_01
aves_aa_4R_auth_0568,1454,group_49,group_30,group_01
aves_aa_4R_auth_0568,1457,group_49,group_30,group_01
aves_aa_4R_auth_0568,1458,group_49,group_30,group_01
aves_aa_4R_auth_0568,1461,group_49,group_30,group_01
aves_aa_4R_auth_0568,1462,group_49,group_30,group_01
aves_aa_4R_auth_0568,1444,group_50,,group_30
aves_aa_4R_auth_0567,1445,group_49,group_29,group_01
aves_aa_4R_auth_0567,1444,group_50,group_73,group_29
aves_aa_4R_auth_0566,1445,group_49,group_26,group_01
aves_aa_4R_auth_0566,1449,group_49,group_26,group_01
aves_aa_4R_auth_0566,1452,group_49,group_26,group_01
aves_aa_4R_auth_0566,1444,group_50,,group_26
aves_aa_4R_auth_0564,1445,group_49,group_21,group_01
aves_aa_4R_auth_0564,1444,group_50,,group_21
aves_aa_4R_auth_0562,1445,group_49,group_13,group_01
aves_aa_4R_auth_0562,1444,group_50,,group_13
aves_aa_4R_auth_0560,1445,group_49,group_05,group_01
aves_aa_4R_auth_0560,1444,group_50,group_44,group_05
aves_aa_4R_auth_0559,1444,group_49,group_25,group_01
aves_aa_4R_auth_0559,1453,group_49,group_25,group_01
aves_aa_4R_auth_0559,1444,group_50,,group_25
aves_aa_4R_auth_0558,1444,group_49,group_20,group_01
aves_aa_4R_auth_0558,1444,group_49,group_20,group_01
aves_aa_4R_auth_0558,1444,group_50,group_72,group_20
aves_aa_4R_auth_0558,1444,group_50,group_72,group_20
aves_aa_4R_auth_0558,1444,group_50,,group_26
aves_aa_4R_auth_0558,1444,group_50,,group_26
aves_aa_4R_auth_0557,1444,group_49,group_18,group_01
aves_aa_4R_auth_0557,1446,group_49,group_18,group_01
aves_aa_4R_auth_0557,1448,group_49,group_18,group_01
aves_aa_4R_auth_0557,1444,group_50,group_66,group_18
aves_aa_4R_auth_0556,1444,group_49,group_15,group_01
aves_aa_4R_auth_0556,1444,group_50,group_39,group_15
aves_aa_4R_auth_0555,1444,group_49,group_13,group_01
aves_aa_4R_auth_0555,1448,group_49,group_13,group_01
aves_aa_4R_auth_0555,1458,group_49,group_13,group_01
aves_aa_4R_auth_0555,1459,group_49,group_13,group_01
aves_aa_4R_auth_0555,1444,group_50,,group_13
aves_aa_4R_auth_0553,1443,group_49,group_29,group_01
aves_aa_4R_auth_0553,1450,group_49,group_29,group_01
aves_aa_4R_auth_0553,1444,group_50,group_67,group_29
aves_aa_4R_auth_0552,1443,group_49,group_28,group_01
aves_aa_4R_auth_0552,1479,group_49,group_28,group_01
aves_aa_4R_auth_0552,1480,group_49,group_28,group_01
aves_aa_4R_auth_0552,1485,group_49,group_28,group_01
aves_aa_4R_auth_0552,1486,group_49,group_28,group_01
aves_aa_4R_auth_0552,1496,group_49,group_28,group_01
aves_aa_4R_auth_0552,1444,group_50,,group_28
aves_aa_4R_auth_0551,1443,group_49,group_27,group_01
aves_aa_4R_auth_0551,1450,group_49,group_27,group_01
aves_aa_4R_auth_0551,1454,group_49,group_27,group_01
aves_aa_4R_auth_0551,1462,group_49,group_27,group_01
aves_aa_4R_auth_0551,1463,group_49,group_27,group_01
aves_aa_4R_auth_0551,1444,group_50,,group_27
aves_aa_4R_auth_0550,1443,group_49,group_24,group_01
aves_aa_4R_auth_0550,1444,group_50,group_63,group_24
aves_aa_4R_auth_0549,1443,group_49,group_21,group_01
aves_aa_4R_auth_0549,1448,group_49,group_21,group_01
aves_aa_4R_auth_0549,1450,group_49,group_21,group_01
aves_aa_4R_auth_0549,1452,group_49,group_21,group_01
aves_aa_4R_auth_0549,1453,group_48,,group_01
aves_aa_4R_auth_0549,1455,group_49,group_21,group_01
aves_aa_4R_auth_0549,1457,group_49,group_21,group_01
aves_aa_4R_auth_0549,1458,group_49,group_21,group_01
aves_aa_4R_auth_0549,1459,group_48,,group_01
aves_aa_4R_auth_0549,1461,group_49,group_21,group_01
aves_aa_4R_auth_0549,1462,group_49,group_21,group_01
aves_aa_4R_auth_0549,1444,group_50,,group_21
aves_aa_4R_auth_0548,1443,group_49,group_16,group_01
aves_aa_4R_auth_0548,1447,group_49,group_16,group_01
aves_aa_4R_auth_0548,1449,group_49,group_16,group_01
aves_aa_4R_auth_0548,1452,group_49,group_16,group_01
aves_aa_4R_auth_0548,1454,group_49,group_16,group_01
aves_aa_4R_auth_0548,1457,group_49,group_16,group_01
aves_aa_4R_auth_0548,1458,group_49,group_16,group_01
aves_aa_4R_auth_0548,1461,group_49,group_16,group_01
aves_aa_4R_auth_0548,1462,group_49,group_16,group_01
aves_aa_4R_auth_0548,1444,group_50,,group_16
aves_aa_4R_auth_0547,1443,group_49,group_15,group_01
aves_aa_4R_auth_0547,1444,group_50,group_39,group_15
aves_aa_4R_auth_0546,1443,group_49,group_10,group_01
aves_aa_4R_auth_0546,1450,group_49,group_10,group_01
aves_aa_4R_auth_0546,1453,group_49,group_10,group_01
aves_aa_4R_auth_0546,1459,group_49,group_10,group_01
aves_aa_4R_auth_0546,1460,group_49,group_10,group_01
aves_aa_4R_auth_0546,1444,group_50,,group_10
aves_aa_4R_auth_0545,1443,group_49,group_08,group_01
aves_aa_4R_auth_0545,1450,group_49,group_08,group_01
aves_aa_4R_auth_0545,1456,group_49,group_08,group_01
aves_aa_4R_auth_0545,1457,group_49,group_08,group_01
aves_aa_4R_auth_0545,1444,group_50,,group_08
aves_aa_4R_auth_0544,1443,group_49,group_07,group_01
aves_aa_4R_auth_0544,1444,group_50,group_46,group_07
aves_aa_4R_auth_0543,1443,group_49,group_05,group_01
aves_aa_4R_auth_0543,1444,group_50,group_44,group_05
aves_aa_4R_auth_0542,1442,group_49,group_32,group_01
aves_aa_4R_auth_0542,1445,group_49,group_32,group_01
aves_aa_4R_auth_0542,1444,group_50,group_70,group_32
aves_aa_4R_auth_0540,1442,group_49,group_28,group_01
aves_aa_4R_auth_0540,1454,group_49,group_28,group_01
aves_aa_4R_auth_0540,1444,group_50,,group_28
aves_aa_4R_auth_0539,1442,group_49,group_24,group_01
aves_aa_4R_auth_0539,1444,group_50,group_64,group_24
aves_aa_4R_auth_0538,1442,group_49,group_22,group_01
aves_aa_4R_auth_0538,1446,group_49,group_22,group_01
aves_aa_4R_auth_0538,1444,group_50,group_36,group_22
aves_aa_4R_auth_0537,1442,group_49,group_20,group_01
aves_aa_4R_auth_0537,1444,group_50,group_72,group_20
aves_aa_4R_auth_0536,1442,group_49,group_12,group_01
aves_aa_4R_auth_0536,1444,group_49,group_12,group_01
aves_aa_4R_auth_0536,1448,group_49,group_12,group_01
aves_aa_4R_auth_0536,1452,group_49,group_12,group_01
aves_aa_4R_auth_0536,1444,group_50,,group_12
aves_aa_4R_auth_0535,1442,group_49,group_07,group_01
aves_aa_4R_auth_0535,1446,group_49,group_07,group_01
aves_aa_4R_auth_0535,1449,group_49,group_07,group_01
aves_aa_4R_auth_0535,1452,group_49,group_07,group_01
aves_aa_4R_auth_0535,1444,group_50,group_46,group_07
aves_aa_4R_auth_0534,1442,group_48,,group_01
aves_aa_4R_auth_0534,1444,group_49,group_07,group_01
aves_aa_4R_auth_0534,1444,group_50,group_46,group_07
aves_aa_4R_auth_0532,1441,group_49,group_27,group_01
aves_aa_4R_auth_0532,1444,group_50,,group_27
aves_aa_4R_auth_0531,1441,group_49,group_26,group_01
aves_aa_4R_auth_0531,1450,group_49,group_26,group_01
aves_aa_4R_auth_0531,1455,group_49,group_26,group_01
aves_aa_4R_auth_0531,1461,group_49,group_26,group_01
aves_aa_4R_auth_0531,1462,group_49,group_26,group_01
aves_aa_4R_auth_0531,1467,group_49,group_26,group_01
aves_aa_4R_auth_0531,1468,group_49,group_26,group_01
aves_aa_4R_auth_0531,1471,group_49,group_26,group_01
aves_aa_4R_auth_0531,1444,group_50,,group_26
aves_aa_4R_auth_0529,1441,group_49,group_20,group_01
aves_aa_4R_auth_0529,1444,group_50,group_71,group_20
aves_aa_4R_auth_0528,1441,group_49,group_16,group_01
aves_aa_4R_auth_0528,1445,group_49,group_16,group_01
aves_aa_4R_auth_0528,1451,group_49,group_16,group_01
aves_aa_4R_auth_0528,1444,group_50,,group_16
aves_aa_4R_auth_0527,1441,group_49,group_12,group_01
aves_aa_4R_auth_0527,1445,group_49,group_12,group_01
aves_aa_4R_auth_0527,1450,group_49,group_12,group_01
aves_aa_4R_auth_0527,1453,group_49,group_12,group_01
aves_aa_4R_auth_0527,1444,group_50,,group_12
aves_aa_4R_auth_0526,1441,group_49,group_10,group_01
aves_aa_4R_auth_0526,1444,group_50,,group_10
aves_aa_4R_auth_0524,1441,group_49,group_08,group_01
aves_aa_4R_auth_0524,1445,group_49,group_08,group_01
aves_aa_4R_auth_0524,1448,group_49,group_08,group_01
aves_aa_4R_auth_0524,1453,group_49,group_08,group_01
aves_aa_4R_auth_0524,1444,group_50,,group_08
aves_aa_4R_auth_0523,1441,group_49,group_07,group_01
aves_aa_4R_auth_0523,1444,group_50,group_46,group_07
aves_aa_4R_auth_0522,1441,group_49,group_05,group_01
aves_aa_4R_auth_0522,1447,group_49,group_05,group_01
aves_aa_4R_auth_0522,1448,group_48,,group_01
aves_aa_4R_auth_0522,1450,group_49,group_05,group_01
aves_aa_4R_auth_0522,1452,group_49,group_05,group_01
aves_aa_4R_auth_0522,1454,group_48,,group_01
aves_aa_4R_auth_0522,1456,group_49,group_05,group_01
aves_aa_4R_auth_0522,1459,group_49,group_05,group_01
aves_aa_4R_auth_0522,1460,group_48,,group_01
aves_aa_4R_auth_0522,1463,group_49,group_05,group_01
aves_aa_4R_auth_0522,1464,group_49,group_05,group_01
aves_aa_4R_auth_0522,1444,group_50,group_44,group_05
aves_aa_4R_auth_0521,1440,group_49,group_31,group_01
aves_aa_4R_auth_0521,1442,group_49,group_31,group_01
aves_aa_4R_auth_0521,1446,group_49,group_31,group_01
aves_aa_4R_auth_0521,1450,group_49,group_31,group_01
aves_aa_4R_auth_0521,1452,group_49,group_31,group_01
aves_aa_4R_auth_0521,1454,group_49,group_31,group_01
aves_aa_4R_auth_0521,1444,group_50,,group_31
aves_aa_4R_auth_0520,1440,group_49,group_30,group_01
aves_aa_4R_auth_0520,1442,group_49,group_30,group_01
aves_aa_4R_auth_0520,1444,group_49,group_30,group_01
aves_aa_4R_auth_0520,1446,group_49,group_30,group_01
aves_aa_4R_auth_0520,1450,group_49,group_30,group_01
aves_aa_4R_auth_0520,1444,group_50,,group_30
aves_aa_4R_auth_0519,1440,group_49,group_29,group_01
aves_aa_4R_auth_0519,1448,group_49,group_29,group_01
aves_aa_4R_auth_0519,1464,group_49,group_29,group_01
