Recid,nom,prenom,surnom
aves_aa_4R_auth_0193,frankenheim,ottemann,
aves_aa_4R_auth_0194,müntzer,burkhart,
aves_aa_4R_auth_0195,brüchelin,hansekint,
aves_aa_4R_auth_0196,flach,johanns,
aves_aa_4R_auth_0197,blumenstein,johanns,
aves_aa_4R_auth_0198,burkhart,heintz,
aves_aa_4R_auth_0199,spitznagel,johanns,
aves_aa_4R_auth_0200,wibolsheim,johanns,
aves_aa_4R_auth_0201,hermann,jacob,
aves_aa_4R_auth_0202,berse,johanns,
aves_aa_4R_auth_0203,sprenger,claus,
aves_aa_4R_auth_0204,kacheler,anthenie,
aves_aa_4R_auth_0205,armbruster,johanns,
aves_aa_4R_auth_0206,kerb,johanns,
aves_aa_4R_auth_0207,"kenen, zur",jeckel,
aves_aa_4R_auth_0208,schmalriem,andres,
aves_aa_4R_auth_0209,zender,johanns,
aves_aa_4R_auth_0210,mannertrieb,diebolt,
aves_aa_4R_auth_0211,mentzer,johanns,
aves_aa_4R_auth_0212,seiler,ruhlemann,
aves_aa_4R_auth_0213,tuchscherer,ottemann,
aves_aa_4R_auth_0214,voltz,,
aves_aa_4R_auth_0215,willgottheim,johanns,
aves_aa_4R_auth_0216,"epfig, von",hannemann,
aves_aa_4R_auth_0217,meiger,claus,
aves_aa_4R_auth_0218,jeckelin,symont,
aves_aa_4R_auth_0219,rawensburg,johanns,
aves_aa_4R_auth_0220,"kriegsheim, von",johanns,stacheler
aves_aa_4R_auth_0221,brüchelin,claus,der junge
aves_aa_4R_auth_0222,saltzmütter,dietrich,
aves_aa_4R_auth_0223,wurant,rudolff,
aves_aa_4R_auth_0224,"lampertheim, von",peter,
aves_aa_4R_auth_0225,brucker,peter,
aves_aa_4R_auth_0226,nussmann,peter,
aves_aa_4R_auth_0227,heimburg,küntz,
aves_aa_4R_auth_0228,gerbot,claus,
aves_aa_4R_auth_0229,dannenfels,johanns,
aves_aa_4R_auth_0230,stoltz,peter,
aves_aa_4R_auth_0231,spirer,claus,
aves_aa_4R_auth_0232,"kenen, zur",jacob,
aves_aa_4R_auth_0233,harnescher,blesin,
aves_aa_4R_auth_0234,bock,ludwig,
aves_aa_4R_auth_0235,hug,johanns,pfaffe
aves_aa_4R_auth_0236,pfluger,ottemann,
aves_aa_4R_auth_0237,kutteltzheim,michel,
aves_aa_4R_auth_0238,bechtolt,johanns,
aves_aa_4R_auth_0239,meiger,jeckel,
aves_aa_4R_auth_0240,"göffde, von",claus,
aves_aa_4R_auth_0241,arner,heinrich,
aves_aa_4R_auth_0242,wild,küntz,
aves_aa_4R_auth_0243,meiger,heinrich,
aves_aa_4R_auth_0244,"wilgen, zur",jacob,
aves_aa_4R_auth_0245,flöss,heintz,
aves_aa_4R_auth_0246,roser,heintz,
aves_aa_4R_auth_0247,ingenheim,küntz,
aves_aa_4R_auth_0248,dolde,bechtolt,
aves_aa_4R_auth_0249,wernher,claus,
aves_aa_4R_auth_0250,giger,claus,
aves_aa_4R_auth_0251,reichwein,walther,
aves_aa_4R_auth_0252,kerling,claus,
aves_aa_4R_auth_0253,renner,johanns,der junge
aves_aa_4R_auth_0254,vetter,claus,
aves_aa_4R_auth_0255,schnipper,claus,
aves_aa_4R_auth_0256,arnolt,konrat,
aves_aa_4R_auth_0257,siffermann,riffe,
aves_aa_4R_auth_0258,rhinau,johanns,
aves_aa_4R_auth_0259,klein,dietrich,
aves_aa_4R_auth_0260,müntzenberg,heinrich,
aves_aa_4R_auth_0261,spete,johanns,
aves_aa_4R_auth_0262,"schluch, im",johanns,"schluch, im"
aves_aa_4R_auth_0263,"nothalden, von",heinrich,
aves_aa_4R_auth_0264,"buchswiller, von",burkhart,
aves_aa_4R_auth_0265,schwob,johanns,
aves_aa_4R_auth_0266,"lampertheim, von",johanns,
aves_aa_4R_auth_0267,müntzenberg,johanns,
aves_aa_4R_auth_0268,"dossenheim, von",hug,
aves_aa_4R_auth_0269,kacheler,sifrit,
aves_aa_4R_auth_0270,waldeck,konrat,
aves_aa_4R_auth_0271,schnell,johanns,
aves_aa_4R_auth_0272,risser,claus,
aves_aa_4R_auth_0273,peter,johanns,
aves_aa_4R_auth_0274,"['', '']",diebolt,
aves_aa_4R_auth_0275,obrecht,johanns,
aves_aa_4R_auth_0276,voltz,claus,"hagenau, von"
aves_aa_4R_auth_0277,gerbot,küntz,
aves_aa_4R_auth_0278,"honau, von",claus,
aves_aa_4R_auth_0279,,adam,
aves_aa_4R_auth_0280,pfluger,heintz,
aves_aa_4R_auth_0281,kilwart,johanns,
aves_aa_4R_auth_0282,würtzel,johanns,
aves_aa_4R_auth_0283,"basel, von",diebolt,
aves_aa_4R_auth_0284,hüter,johanns,
aves_aa_4R_auth_0285,kride,heintz,
aves_aa_4R_auth_0286,krapp,johanns,
aves_aa_4R_auth_0287,pfettisheim,johanns,
aves_aa_4R_auth_0288,"eckboltzheim, von",claus,
aves_aa_4R_auth_0289,leistmann,,
