PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
Kraft,,"['masc', 'germanique']","['Kraft', 'Krafft', 'Craft', 'Crafft']"
Kühne,,"['masc', 'germanique']","['Kühne', 'Küne', 'Cüne', 'Cüneman', 'Cuͦne', 'Cuͦneman', 'Cuͦn']"
Küntz,Konrad,"['masc', 'germanique', 'diminutif']","['Küntz', 'Cüntz', 'Cüntzel', 'Cuentz', 'Cuentzel', 'Cüntze', 'Cuentze', 'Cüntzlin', 'Cùntz', 'Cuͦntz', 'Cuntz', 'Cùntzlin', 'Cuͦntz', 'Cüntzelin', 'Contz', 'Cuntzel', 'CuͦNtz', 'Contzel', 'Cuntze', 'Küntzel', 'Cüntzen', 'CuͦNtze']"
Kürin,,"['masc', 'germanique']",['Kürin']
Lamprecht,,"['masc', 'germanique']","['Lampreht', 'Lamprecht']"
Laurentz,Laurent,"['masc', 'latin']","['Lentzel', 'Lentz', 'Laurentz', 'Lorentz', 'Lentzeln', 'Lorentzie', 'Lorentze']"
Lauwel,Nicolas,"['masc', 'latin', 'diminutif']","['Lauwel', 'Lauwelin', 'Lawel', 'Lawelin', 'Laulin', 'Lauwlin', 'Lawlin', 'Laẅelin', 'Läwelin', 'Laweln', 'Laẅel', 'Lauweln', 'Laẅeln', 'Laüwelin', 'Lauwels', 'Lauwelins']"
Lexius,,"['masc', 'latin']","['Lexius', 'Lecius']"
Lienhart,Léonard,"['masc', 'germanique']","['Lienhart', 'Lienhard', 'Leonhart', 'Leonhard', 'Leonhardt']"
Ludwig,Louis,"['masc', 'germanique']","['Ludwig', 'Ludeman', 'Ludman', 'Ludewig']"
Lütholt,Léopold,"['masc', 'germanique']","['Lütholt', 'Lüthold', 'Lütolt', 'Lütold', 'Lütoltz', 'Ludewick']"
Männel,,"['masc', 'germanique', 'diminutif']",['Mennel']
Martin,Martin,"['masc', 'latin']",['Martin']
Martzolff,Marcel,"['masc', 'latin']","['Martzolf', 'Martzolff', 'Marzolf', 'Marzolff']"
Marx,Marc,"['masc', 'latin']",['Marx']
Matheus,Matthieu,"['masc', 'latin']",['Matheus']
Mathis,Mathis,"['masc', 'hébraïque']",['Mathis']
Mattern,,"['masc', 'germanique']","['Mattern', 'Matern', 'Materne']"
Mertz,,"['masc', 'germanique']",['Mertz']
Mewus,,['masc'],['Mewus']
Michel,Michel,"['masc', 'hébraïque']",['Michel']
Monschein,,"['masc', 'germanique']","['Monschein', 'Monschin']"
Oberlin,,"['masc', 'germanique']","['Oberlin', 'Öberlin', 'Äberlin']"
Obrecht,Albert,"['masc', 'germanique']","['Obrecht', 'Obreht', 'Abreht', 'Albreht', 'Öbreht']"
Ortlieb,,"['masc', 'germanique']","['Ortlieb', 'Ortliep', 'Örtel', 'Oertel']"
Oswalt,Oswald,"['masc', 'germanique']","['Ohswalt', 'Oswalt', 'Oßwalt']"
Ottefried,,"['masc', 'germanique']","['Ottfried', 'Otfried']"
Ottemann,,"['masc', 'germanique']","['Ottman', 'Otman', 'Ottemann', 'Otteman', 'Otte', 'Ott', 'Öttelin', 'Ottel']"
Pantheleon,Pantéléon,"['masc', 'grec']","['Pantheleon', 'Panteleon', 'Phantheleon', 'Panthaleon']"
